Job Title,Company Name,Job Description,Tokenized,Stop Words Removed,Finished Text
-1,-1,"Apply now »
Network Engineer
Location:Kansas City, MO, US, 64106

Best People + Right Culture. These are the driving forces behind JE Dunn’s success.

By hiring inspired people, giving them interesting and challenging work, enabling them with innovative tools, and letting them share in the company’s rewards, we’ve found a sustainable way to grow in our industry for the last 90+ years.","['Apply', 'now', '»', 'Network', 'Engineer', 'Location', ':', 'Kansas', 'City', ',', 'MO', ',', 'US', ',', '64106', 'Best', 'People', '+', 'Right', 'Culture', '.', 'These', 'are', 'the', 'driving', 'forces', 'behind', 'JE', 'Dunn', '’', 's', 'success', '.', 'By', 'hiring', 'inspired', 'people', ',', 'giving', 'them', 'interesting', 'and', 'challenging', 'work', ',', 'enabling', 'them', 'with', 'innovative', 'tools', ',', 'and', 'letting', 'them', 'share', 'in', 'the', 'company', '’', 's', 'rewards', ',', 'we', '’', 've', 'found', 'a', 'sustainable', 'way', 'to', 'grow', 'in', 'our', 'industry', 'for', 'the', 'last', '90+', 'years', '.']","['Apply', '»', 'Network', 'Engineer', 'Location', ':', 'Kansas', 'City', ',', 'MO', ',', 'US', ',', '64106', 'Best', 'People', '+', 'Right', 'Culture', '.', 'These', 'driving', 'forces', 'behind', 'JE', 'Dunn', '’', 'success', '.', 'By', 'hiring', 'inspired', 'people', ',', 'giving', 'interesting', 'challenging', 'work', ',', 'enabling', 'innovative', 'tools', ',', 'letting', 'share', 'company', '’', 'rewards', ',', '’', 'found', 'sustainable', 'way', 'grow', 'industry', 'last', '90+', 'years', '.']","Apply » Network Engineer Location : Kansas City , MO , US , 64106 Best People + Right Culture . These driving forces behind JE Dunn ’ success . By hiring inspired people , giving interesting challenging work , enabling innovative tools , letting share company ’ rewards , ’ found sustainable way grow industry last 90+ years ."
-1,-1,"SPECIFIC JOB DUTIES AND RESPONSIBILITIES:
1. Maintains current knowledge of UCS best practices and pertinent certifications.
2. Coordinates with user liaisons, both clinical and non-clinical, to assess business and departmental needs and objectives (i.e., current business processes, compliance requirements, areas for improvement).
3. Performs feasibility analysis and prepares project plans to ensure business needs are integrated with system design and functionality.
4. Monitors and reports on project activities and reports on status within published timelines.","['SPECIFIC', 'JOB', 'DUTIES', 'AND', 'RESPONSIBILITIES', ':', '1', '.', 'Maintains', 'current', 'knowledge', 'of', 'UCS', 'best', 'practices', 'and', 'pertinent', 'certifications', '.', '2', '.', 'Coordinates', 'with', 'user', 'liaisons', ',', 'both', 'clinical', 'and', 'non-clinical', ',', 'to', 'assess', 'business', 'and', 'departmental', 'needs', 'and', 'objectives', '(', 'i.e.', ',', 'current', 'business', 'processes', ',', 'compliance', 'requirements', ',', 'areas', 'for', 'improvement', ')', '.', '3', '.', 'Performs', 'feasibility', 'analysis', 'and', 'prepares', 'project', 'plans', 'to', 'ensure', 'business', 'needs', 'are', 'integrated', 'with', 'system', 'design', 'and', 'functionality', '.', '4', '.', 'Monitors', 'and', 'reports', 'on', 'project', 'activities', 'and', 'reports', 'on', 'status', 'within', 'published', 'timelines', '.']","['SPECIFIC', 'JOB', 'DUTIES', 'AND', 'RESPONSIBILITIES', ':', '1', '.', 'Maintains', 'current', 'knowledge', 'UCS', 'best', 'practices', 'pertinent', 'certifications', '.', '2', '.', 'Coordinates', 'user', 'liaisons', ',', 'clinical', 'non-clinical', ',', 'assess', 'business', 'departmental', 'needs', 'objectives', '(', 'i.e.', ',', 'current', 'business', 'processes', ',', 'compliance', 'requirements', ',', 'areas', 'improvement', ')', '.', '3', '.', 'Performs', 'feasibility', 'analysis', 'prepares', 'project', 'plans', 'ensure', 'business', 'needs', 'integrated', 'system', 'design', 'functionality', '.', '4', '.', 'Monitors', 'reports', 'project', 'activities', 'reports', 'status', 'within', 'published', 'timelines', '.']","SPECIFIC JOB DUTIES AND RESPONSIBILITIES : 1 . Maintains current knowledge UCS best practices pertinent certifications . 2 . Coordinates user liaisons , clinical non-clinical , assess business departmental needs objectives ( i.e. , current business processes , compliance requirements , areas improvement ) . 3 . Performs feasibility analysis prepares project plans ensure business needs integrated system design functionality . 4 . Monitors reports project activities reports status within published timelines ."
-1,-1,"Overview:
Join our family of companies and let us invest in your career and personal development!

At Copper River Information Technology, your growth is our success. As an employee, you will have access to education and training benefits and work/life balance through our Open Leave Policy. Your health is most important, so you’ll be “covered” with medical, dental and vision insurance. We offer immediate vesting with 401k matching, don’t delay and apply today!

We are a seeking a Network Security Engineer who is comfortable working in a Professional Services customer facing role and dealing with multiple projects with various customers. These projects may be large or small depending on the customer requirements and/or contract. Potential of having to visit customers locations and work with engineers on network migrations, deployments and/or upgrades.
Responsibilities:
Qualifications:
Other Responsibilities:","['Overview', ':', 'Join', 'our', 'family', 'of', 'companies', 'and', 'let', 'us', 'invest', 'in', 'your', 'career', 'and', 'personal', 'development', '!', 'At', 'Copper', 'River', 'Information', 'Technology', ',', 'your', 'growth', 'is', 'our', 'success', '.', 'As', 'an', 'employee', ',', 'you', 'will', 'have', 'access', 'to', 'education', 'and', 'training', 'benefits', 'and', 'work/life', 'balance', 'through', 'our', 'Open', 'Leave', 'Policy', '.', 'Your', 'health', 'is', 'most', 'important', ',', 'so', 'you', '’', 'll', 'be', '“', 'covered', '”', 'with', 'medical', ',', 'dental', 'and', 'vision', 'insurance', '.', 'We', 'offer', 'immediate', 'vesting', 'with', '401k', 'matching', ',', 'don', '’', 't', 'delay', 'and', 'apply', 'today', '!', 'We', 'are', 'a', 'seeking', 'a', 'Network', 'Security', 'Engineer', 'who', 'is', 'comfortable', 'working', 'in', 'a', 'Professional', 'Services', 'customer', 'facing', 'role', 'and', 'dealing', 'with', 'multiple', 'projects', 'with', 'various', 'customers', '.', 'These', 'projects', 'may', 'be', 'large', 'or', 'small', 'depending', 'on', 'the', 'customer', 'requirements', 'and/or', 'contract', '.', 'Potential', 'of', 'having', 'to', 'visit', 'customers', 'locations', 'and', 'work', 'with', 'engineers', 'on', 'network', 'migrations', ',', 'deployments', 'and/or', 'upgrades', '.', 'Responsibilities', ':', 'Qualifications', ':', 'Other', 'Responsibilities', ':']","['Overview', ':', 'Join', 'family', 'companies', 'let', 'us', 'invest', 'career', 'personal', 'development', '!', 'At', 'Copper', 'River', 'Information', 'Technology', ',', 'growth', 'success', '.', 'As', 'employee', ',', 'access', 'education', 'training', 'benefits', 'work/life', 'balance', 'Open', 'Leave', 'Policy', '.', 'Your', 'health', 'important', ',', '’', '“', 'covered', '”', 'medical', ',', 'dental', 'vision', 'insurance', '.', 'We', 'offer', 'immediate', 'vesting', '401k', 'matching', ',', '’', 'delay', 'apply', 'today', '!', 'We', 'seeking', 'Network', 'Security', 'Engineer', 'comfortable', 'working', 'Professional', 'Services', 'customer', 'facing', 'role', 'dealing', 'multiple', 'projects', 'various', 'customers', '.', 'These', 'projects', 'may', 'large', 'small', 'depending', 'customer', 'requirements', 'and/or', 'contract', '.', 'Potential', 'visit', 'customers', 'locations', 'work', 'engineers', 'network', 'migrations', ',', 'deployments', 'and/or', 'upgrades', '.', 'Responsibilities', ':', 'Qualifications', ':', 'Other', 'Responsibilities', ':']","Overview : Join family companies let us invest career personal development ! At Copper River Information Technology , growth success . As employee , access education training benefits work/life balance Open Leave Policy . Your health important , ’ “ covered ” medical , dental vision insurance . We offer immediate vesting 401k matching , ’ delay apply today ! We seeking Network Security Engineer comfortable working Professional Services customer facing role dealing multiple projects various customers . These projects may large small depending customer requirements and/or contract . Potential visit customers locations work engineers network migrations , deployments and/or upgrades . Responsibilities : Qualifications : Other Responsibilities :"
-1,-1,"Overview:
Western National is seeking an experienced Network Engineer to join our growing team and help shape our network for the future. We are The Relationship Company®, and we strive to provide best-in-class service to all our agency partners and policyholders while promoting a culture of work/life balance to our employees. We are interested in extending that best-in-class service to our internal stakeholders.

This is a great opportunity for the right person to join our evolving Network & Communications Team and help with a complete network redesign and rebuild. This role will be a primary resource for all our LAN, WAN and Firewall equipment & configurations.
If you are interested in joining a growing company, are passionate about customer service, and have experience configuring networks according to current best practices, we invite you to apply today!
Responsibilities:
Qualifications:","['Overview', ':', 'Western', 'National', 'is', 'seeking', 'an', 'experienced', 'Network', 'Engineer', 'to', 'join', 'our', 'growing', 'team', 'and', 'help', 'shape', 'our', 'network', 'for', 'the', 'future', '.', 'We', 'are', 'The', 'Relationship', 'Company®', ',', 'and', 'we', 'strive', 'to', 'provide', 'best-in-class', 'service', 'to', 'all', 'our', 'agency', 'partners', 'and', 'policyholders', 'while', 'promoting', 'a', 'culture', 'of', 'work/life', 'balance', 'to', 'our', 'employees', '.', 'We', 'are', 'interested', 'in', 'extending', 'that', 'best-in-class', 'service', 'to', 'our', 'internal', 'stakeholders', '.', 'This', 'is', 'a', 'great', 'opportunity', 'for', 'the', 'right', 'person', 'to', 'join', 'our', 'evolving', 'Network', '&', 'Communications', 'Team', 'and', 'help', 'with', 'a', 'complete', 'network', 'redesign', 'and', 'rebuild', '.', 'This', 'role', 'will', 'be', 'a', 'primary', 'resource', 'for', 'all', 'our', 'LAN', ',', 'WAN', 'and', 'Firewall', 'equipment', '&', 'configurations', '.', 'If', 'you', 'are', 'interested', 'in', 'joining', 'a', 'growing', 'company', ',', 'are', 'passionate', 'about', 'customer', 'service', ',', 'and', 'have', 'experience', 'configuring', 'networks', 'according', 'to', 'current', 'best', 'practices', ',', 'we', 'invite', 'you', 'to', 'apply', 'today', '!', 'Responsibilities', ':', 'Qualifications', ':']","['Overview', ':', 'Western', 'National', 'seeking', 'experienced', 'Network', 'Engineer', 'join', 'growing', 'team', 'help', 'shape', 'network', 'future', '.', 'We', 'The', 'Relationship', 'Company®', ',', 'strive', 'provide', 'best-in-class', 'service', 'agency', 'partners', 'policyholders', 'promoting', 'culture', 'work/life', 'balance', 'employees', '.', 'We', 'interested', 'extending', 'best-in-class', 'service', 'internal', 'stakeholders', '.', 'This', 'great', 'opportunity', 'right', 'person', 'join', 'evolving', 'Network', '&', 'Communications', 'Team', 'help', 'complete', 'network', 'redesign', 'rebuild', '.', 'This', 'role', 'primary', 'resource', 'LAN', ',', 'WAN', 'Firewall', 'equipment', '&', 'configurations', '.', 'If', 'interested', 'joining', 'growing', 'company', ',', 'passionate', 'customer', 'service', ',', 'experience', 'configuring', 'networks', 'according', 'current', 'best', 'practices', ',', 'invite', 'apply', 'today', '!', 'Responsibilities', ':', 'Qualifications', ':']","Overview : Western National seeking experienced Network Engineer join growing team help shape network future . We The Relationship Company® , strive provide best-in-class service agency partners policyholders promoting culture work/life balance employees . We interested extending best-in-class service internal stakeholders . This great opportunity right person join evolving Network & Communications Team help complete network redesign rebuild . This role primary resource LAN , WAN Firewall equipment & configurations . If interested joining growing company , passionate customer service , experience configuring networks according current best practices , invite apply today ! Responsibilities : Qualifications :"
-1,-1,"Secure our Nation, Ignite your Future
ManTech is seeking a Senior Juniper Network Engineer to join our MCIA team supporting our growing Marine Corps programs in Quantico, VA.
ManTech International Corporation provides innovative engineering and systems integration services that help our customers solve their toughest, most intractable problems. National defense and homeland security clients depend on our rapid, cost-effective development of adaptable, interoperable, integrated solutions that provide high performance in quick-response scenarios.
This position requires an active DoD TS/SCI clearance
General Responsibilities:","['Secure', 'our', 'Nation', ',', 'Ignite', 'your', 'Future', 'ManTech', 'is', 'seeking', 'a', 'Senior', 'Juniper', 'Network', 'Engineer', 'to', 'join', 'our', 'MCIA', 'team', 'supporting', 'our', 'growing', 'Marine', 'Corps', 'programs', 'in', 'Quantico', ',', 'VA.', 'ManTech', 'International', 'Corporation', 'provides', 'innovative', 'engineering', 'and', 'systems', 'integration', 'services', 'that', 'help', 'our', 'customers', 'solve', 'their', 'toughest', ',', 'most', 'intractable', 'problems', '.', 'National', 'defense', 'and', 'homeland', 'security', 'clients', 'depend', 'on', 'our', 'rapid', ',', 'cost-effective', 'development', 'of', 'adaptable', ',', 'interoperable', ',', 'integrated', 'solutions', 'that', 'provide', 'high', 'performance', 'in', 'quick-response', 'scenarios', '.', 'This', 'position', 'requires', 'an', 'active', 'DoD', 'TS/SCI', 'clearance', 'General', 'Responsibilities', ':']","['Secure', 'Nation', ',', 'Ignite', 'Future', 'ManTech', 'seeking', 'Senior', 'Juniper', 'Network', 'Engineer', 'join', 'MCIA', 'team', 'supporting', 'growing', 'Marine', 'Corps', 'programs', 'Quantico', ',', 'VA.', 'ManTech', 'International', 'Corporation', 'provides', 'innovative', 'engineering', 'systems', 'integration', 'services', 'help', 'customers', 'solve', 'toughest', ',', 'intractable', 'problems', '.', 'National', 'defense', 'homeland', 'security', 'clients', 'depend', 'rapid', ',', 'cost-effective', 'development', 'adaptable', ',', 'interoperable', ',', 'integrated', 'solutions', 'provide', 'high', 'performance', 'quick-response', 'scenarios', '.', 'This', 'position', 'requires', 'active', 'DoD', 'TS/SCI', 'clearance', 'General', 'Responsibilities', ':']","Secure Nation , Ignite Future ManTech seeking Senior Juniper Network Engineer join MCIA team supporting growing Marine Corps programs Quantico , VA. ManTech International Corporation provides innovative engineering systems integration services help customers solve toughest , intractable problems . National defense homeland security clients depend rapid , cost-effective development adaptable , interoperable , integrated solutions provide high performance quick-response scenarios . This position requires active DoD TS/SCI clearance General Responsibilities :"
-1,-1,"The Network Project Engineer’s purpose is to attain a high level of client satisfaction as a strategic technical resource within the organization responsible for successful onsite project delivery and service support of our networking and cybersecurity product portfolio.
Essential Duties and Responsibilities:
Works through project tickets in PSA as assigned.
Works through service tickets in PSA as assigned.
Escalates engineering, service or project issues that cannot be completed within agreed service levels.
Interfaces with vendor / manufacturer technical personnel for client problems that cannot be resolved effectively.","['The', 'Network', 'Project', 'Engineer', '’', 's', 'purpose', 'is', 'to', 'attain', 'a', 'high', 'level', 'of', 'client', 'satisfaction', 'as', 'a', 'strategic', 'technical', 'resource', 'within', 'the', 'organization', 'responsible', 'for', 'successful', 'onsite', 'project', 'delivery', 'and', 'service', 'support', 'of', 'our', 'networking', 'and', 'cybersecurity', 'product', 'portfolio', '.', 'Essential', 'Duties', 'and', 'Responsibilities', ':', 'Works', 'through', 'project', 'tickets', 'in', 'PSA', 'as', 'assigned', '.', 'Works', 'through', 'service', 'tickets', 'in', 'PSA', 'as', 'assigned', '.', 'Escalates', 'engineering', ',', 'service', 'or', 'project', 'issues', 'that', 'can', 'not', 'be', 'completed', 'within', 'agreed', 'service', 'levels', '.', 'Interfaces', 'with', 'vendor', '/', 'manufacturer', 'technical', 'personnel', 'for', 'client', 'problems', 'that', 'can', 'not', 'be', 'resolved', 'effectively', '.']","['The', 'Network', 'Project', 'Engineer', '’', 'purpose', 'attain', 'high', 'level', 'client', 'satisfaction', 'strategic', 'technical', 'resource', 'within', 'organization', 'responsible', 'successful', 'onsite', 'project', 'delivery', 'service', 'support', 'networking', 'cybersecurity', 'product', 'portfolio', '.', 'Essential', 'Duties', 'Responsibilities', ':', 'Works', 'project', 'tickets', 'PSA', 'assigned', '.', 'Works', 'service', 'tickets', 'PSA', 'assigned', '.', 'Escalates', 'engineering', ',', 'service', 'project', 'issues', 'completed', 'within', 'agreed', 'service', 'levels', '.', 'Interfaces', 'vendor', '/', 'manufacturer', 'technical', 'personnel', 'client', 'problems', 'resolved', 'effectively', '.']","The Network Project Engineer ’ purpose attain high level client satisfaction strategic technical resource within organization responsible successful onsite project delivery service support networking cybersecurity product portfolio . Essential Duties Responsibilities : Works project tickets PSA assigned . Works service tickets PSA assigned . Escalates engineering , service project issues completed within agreed service levels . Interfaces vendor / manufacturer technical personnel client problems resolved effectively ."
-1,-1,"SkySilk Cloud Services is an up-and-coming cloud computing services provider. We are a small, yet quickly growing team of tech-heads working on building a product to help developers, students, businesses, and more work more efficiently on the internet through the use of virtual servers. This is an exciting time in our company and an opportunity to join our team on the ground floor.
We are looking for an experienced enterprising network engineer II who will be able to maintain, control, and develop actionable plans to execute our go forward strategy for all networking topologies.
The individual hired will have the opportunity to work with our team of qualified network engineers and administrators on various projects & initiatives. This position is key to developing the engineering platform, automation, continuous integration, and developing the technology roadmap.","['SkySilk', 'Cloud', 'Services', 'is', 'an', 'up-and-coming', 'cloud', 'computing', 'services', 'provider', '.', 'We', 'are', 'a', 'small', ',', 'yet', 'quickly', 'growing', 'team', 'of', 'tech-heads', 'working', 'on', 'building', 'a', 'product', 'to', 'help', 'developers', ',', 'students', ',', 'businesses', ',', 'and', 'more', 'work', 'more', 'efficiently', 'on', 'the', 'internet', 'through', 'the', 'use', 'of', 'virtual', 'servers', '.', 'This', 'is', 'an', 'exciting', 'time', 'in', 'our', 'company', 'and', 'an', 'opportunity', 'to', 'join', 'our', 'team', 'on', 'the', 'ground', 'floor', '.', 'We', 'are', 'looking', 'for', 'an', 'experienced', 'enterprising', 'network', 'engineer', 'II', 'who', 'will', 'be', 'able', 'to', 'maintain', ',', 'control', ',', 'and', 'develop', 'actionable', 'plans', 'to', 'execute', 'our', 'go', 'forward', 'strategy', 'for', 'all', 'networking', 'topologies', '.', 'The', 'individual', 'hired', 'will', 'have', 'the', 'opportunity', 'to', 'work', 'with', 'our', 'team', 'of', 'qualified', 'network', 'engineers', 'and', 'administrators', 'on', 'various', 'projects', '&', 'initiatives', '.', 'This', 'position', 'is', 'key', 'to', 'developing', 'the', 'engineering', 'platform', ',', 'automation', ',', 'continuous', 'integration', ',', 'and', 'developing', 'the', 'technology', 'roadmap', '.']","['SkySilk', 'Cloud', 'Services', 'up-and-coming', 'cloud', 'computing', 'services', 'provider', '.', 'We', 'small', ',', 'yet', 'quickly', 'growing', 'team', 'tech-heads', 'working', 'building', 'product', 'help', 'developers', ',', 'students', ',', 'businesses', ',', 'work', 'efficiently', 'internet', 'use', 'virtual', 'servers', '.', 'This', 'exciting', 'time', 'company', 'opportunity', 'join', 'team', 'ground', 'floor', '.', 'We', 'looking', 'experienced', 'enterprising', 'network', 'engineer', 'II', 'able', 'maintain', ',', 'control', ',', 'develop', 'actionable', 'plans', 'execute', 'go', 'forward', 'strategy', 'networking', 'topologies', '.', 'The', 'individual', 'hired', 'opportunity', 'work', 'team', 'qualified', 'network', 'engineers', 'administrators', 'various', 'projects', '&', 'initiatives', '.', 'This', 'position', 'key', 'developing', 'engineering', 'platform', ',', 'automation', ',', 'continuous', 'integration', ',', 'developing', 'technology', 'roadmap', '.']","SkySilk Cloud Services up-and-coming cloud computing services provider . We small , yet quickly growing team tech-heads working building product help developers , students , businesses , work efficiently internet use virtual servers . This exciting time company opportunity join team ground floor . We looking experienced enterprising network engineer II able maintain , control , develop actionable plans execute go forward strategy networking topologies . The individual hired opportunity work team qualified network engineers administrators various projects & initiatives . This position key developing engineering platform , automation , continuous integration , developing technology roadmap ."
-1,-1,"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented Network Engineer to join our team in the Aberdeen Proving Ground.
Join our integrated technical team providing Software Support for Army and Joint tactical communications systems in Aberdeen, MD. Working in our DevOps environment on the Army’s unified One Network, you will ensure that our nation’s Warfighters can continue to rely on uninterrupted mission command and secure reliable voice, video and data communications worldwide at every phase of the joint operational spectrum.","['Secure', 'our', 'Nation', ',', 'Ignite', 'your', 'Future', 'Become', 'an', 'integral', 'part', 'of', 'a', 'diverse', 'team', 'while', 'working', 'at', 'an', 'Industry', 'Leading', 'Organization', ',', 'where', 'our', 'employees', 'come', 'first', '.', 'At', 'ManTech', 'International', 'Corporation', ',', 'you', '’', 'll', 'help', 'protect', 'our', 'national', 'security', 'while', 'working', 'on', 'innovative', 'projects', 'that', 'offer', 'opportunities', 'for', 'advancement', '.', 'Currently', ',', 'ManTech', 'is', 'seeking', 'a', 'motivated', ',', 'career', 'and', 'customer-oriented', 'Network', 'Engineer', 'to', 'join', 'our', 'team', 'in', 'the', 'Aberdeen', 'Proving', 'Ground', '.', 'Join', 'our', 'integrated', 'technical', 'team', 'providing', 'Software', 'Support', 'for', 'Army', 'and', 'Joint', 'tactical', 'communications', 'systems', 'in', 'Aberdeen', ',', 'MD', '.', 'Working', 'in', 'our', 'DevOps', 'environment', 'on', 'the', 'Army', '’', 's', 'unified', 'One', 'Network', ',', 'you', 'will', 'ensure', 'that', 'our', 'nation', '’', 's', 'Warfighters', 'can', 'continue', 'to', 'rely', 'on', 'uninterrupted', 'mission', 'command', 'and', 'secure', 'reliable', 'voice', ',', 'video', 'and', 'data', 'communications', 'worldwide', 'at', 'every', 'phase', 'of', 'the', 'joint', 'operational', 'spectrum', '.']","['Secure', 'Nation', ',', 'Ignite', 'Future', 'Become', 'integral', 'part', 'diverse', 'team', 'working', 'Industry', 'Leading', 'Organization', ',', 'employees', 'come', 'first', '.', 'At', 'ManTech', 'International', 'Corporation', ',', '’', 'help', 'protect', 'national', 'security', 'working', 'innovative', 'projects', 'offer', 'opportunities', 'advancement', '.', 'Currently', ',', 'ManTech', 'seeking', 'motivated', ',', 'career', 'customer-oriented', 'Network', 'Engineer', 'join', 'team', 'Aberdeen', 'Proving', 'Ground', '.', 'Join', 'integrated', 'technical', 'team', 'providing', 'Software', 'Support', 'Army', 'Joint', 'tactical', 'communications', 'systems', 'Aberdeen', ',', 'MD', '.', 'Working', 'DevOps', 'environment', 'Army', '’', 'unified', 'One', 'Network', ',', 'ensure', 'nation', '’', 'Warfighters', 'continue', 'rely', 'uninterrupted', 'mission', 'command', 'secure', 'reliable', 'voice', ',', 'video', 'data', 'communications', 'worldwide', 'every', 'phase', 'joint', 'operational', 'spectrum', '.']","Secure Nation , Ignite Future Become integral part diverse team working Industry Leading Organization , employees come first . At ManTech International Corporation , ’ help protect national security working innovative projects offer opportunities advancement . Currently , ManTech seeking motivated , career customer-oriented Network Engineer join team Aberdeen Proving Ground . Join integrated technical team providing Software Support Army Joint tactical communications systems Aberdeen , MD . Working DevOps environment Army ’ unified One Network , ensure nation ’ Warfighters continue rely uninterrupted mission command secure reliable voice , video data communications worldwide every phase joint operational spectrum ."
-1,-1,"Job Purpose:
The Network Engineer is responsible for LAN infrastructure, design, implementation, configuration and maintenance of Hassett Logistics LAN/WAN environment. Manages and maintains a multi-user computer system (server) for on site and remote facilities. Establishes and performs highly complex network-based projects involving the design, analysis, maintenance, and implementation of LAN/WAN equipment and networks. Performs system administration of microcomputers.

Key Responsibilities/Outcomes:
Duties and responsibilities include, but are not limited to the following:","['Job', 'Purpose', ':', 'The', 'Network', 'Engineer', 'is', 'responsible', 'for', 'LAN', 'infrastructure', ',', 'design', ',', 'implementation', ',', 'configuration', 'and', 'maintenance', 'of', 'Hassett', 'Logistics', 'LAN/WAN', 'environment', '.', 'Manages', 'and', 'maintains', 'a', 'multi-user', 'computer', 'system', '(', 'server', ')', 'for', 'on', 'site', 'and', 'remote', 'facilities', '.', 'Establishes', 'and', 'performs', 'highly', 'complex', 'network-based', 'projects', 'involving', 'the', 'design', ',', 'analysis', ',', 'maintenance', ',', 'and', 'implementation', 'of', 'LAN/WAN', 'equipment', 'and', 'networks', '.', 'Performs', 'system', 'administration', 'of', 'microcomputers', '.', 'Key', 'Responsibilities/Outcomes', ':', 'Duties', 'and', 'responsibilities', 'include', ',', 'but', 'are', 'not', 'limited', 'to', 'the', 'following', ':']","['Job', 'Purpose', ':', 'The', 'Network', 'Engineer', 'responsible', 'LAN', 'infrastructure', ',', 'design', ',', 'implementation', ',', 'configuration', 'maintenance', 'Hassett', 'Logistics', 'LAN/WAN', 'environment', '.', 'Manages', 'maintains', 'multi-user', 'computer', 'system', '(', 'server', ')', 'site', 'remote', 'facilities', '.', 'Establishes', 'performs', 'highly', 'complex', 'network-based', 'projects', 'involving', 'design', ',', 'analysis', ',', 'maintenance', ',', 'implementation', 'LAN/WAN', 'equipment', 'networks', '.', 'Performs', 'system', 'administration', 'microcomputers', '.', 'Key', 'Responsibilities/Outcomes', ':', 'Duties', 'responsibilities', 'include', ',', 'limited', 'following', ':']","Job Purpose : The Network Engineer responsible LAN infrastructure , design , implementation , configuration maintenance Hassett Logistics LAN/WAN environment . Manages maintains multi-user computer system ( server ) site remote facilities . Establishes performs highly complex network-based projects involving design , analysis , maintenance , implementation LAN/WAN equipment networks . Performs system administration microcomputers . Key Responsibilities/Outcomes : Duties responsibilities include , limited following :"
-1,-1,"Position Overview
Our Senior IT Systems & Network Engineers hold a wealth of knowledge regarding complex LAN and WAN network infrastructure. They are able to provide the highest level of network system maintenance and support, and are expected to have leading-class knowledge of hardware, software, networking, and security. A Senior Systems & Network Engineer should have years of experience working in the field, and should have a strong background in customer service and team leadership. Individuals must possess excellent technical and troubleshooting skills, and must also have outstanding personal skills as working closely with customers is imperative.
Note: This position is generally not remote. We may consider select remote candidates who are located within Iowa. Candidates outside of Iowa will be required to relocate to the Iowa Great Lakes region.","['Position', 'Overview', 'Our', 'Senior', 'IT', 'Systems', '&', 'Network', 'Engineers', 'hold', 'a', 'wealth', 'of', 'knowledge', 'regarding', 'complex', 'LAN', 'and', 'WAN', 'network', 'infrastructure', '.', 'They', 'are', 'able', 'to', 'provide', 'the', 'highest', 'level', 'of', 'network', 'system', 'maintenance', 'and', 'support', ',', 'and', 'are', 'expected', 'to', 'have', 'leading-class', 'knowledge', 'of', 'hardware', ',', 'software', ',', 'networking', ',', 'and', 'security', '.', 'A', 'Senior', 'Systems', '&', 'Network', 'Engineer', 'should', 'have', 'years', 'of', 'experience', 'working', 'in', 'the', 'field', ',', 'and', 'should', 'have', 'a', 'strong', 'background', 'in', 'customer', 'service', 'and', 'team', 'leadership', '.', 'Individuals', 'must', 'possess', 'excellent', 'technical', 'and', 'troubleshooting', 'skills', ',', 'and', 'must', 'also', 'have', 'outstanding', 'personal', 'skills', 'as', 'working', 'closely', 'with', 'customers', 'is', 'imperative', '.', 'Note', ':', 'This', 'position', 'is', 'generally', 'not', 'remote', '.', 'We', 'may', 'consider', 'select', 'remote', 'candidates', 'who', 'are', 'located', 'within', 'Iowa', '.', 'Candidates', 'outside', 'of', 'Iowa', 'will', 'be', 'required', 'to', 'relocate', 'to', 'the', 'Iowa', 'Great', 'Lakes', 'region', '.']","['Position', 'Overview', 'Our', 'Senior', 'IT', 'Systems', '&', 'Network', 'Engineers', 'hold', 'wealth', 'knowledge', 'regarding', 'complex', 'LAN', 'WAN', 'network', 'infrastructure', '.', 'They', 'able', 'provide', 'highest', 'level', 'network', 'system', 'maintenance', 'support', ',', 'expected', 'leading-class', 'knowledge', 'hardware', ',', 'software', ',', 'networking', ',', 'security', '.', 'A', 'Senior', 'Systems', '&', 'Network', 'Engineer', 'years', 'experience', 'working', 'field', ',', 'strong', 'background', 'customer', 'service', 'team', 'leadership', '.', 'Individuals', 'must', 'possess', 'excellent', 'technical', 'troubleshooting', 'skills', ',', 'must', 'also', 'outstanding', 'personal', 'skills', 'working', 'closely', 'customers', 'imperative', '.', 'Note', ':', 'This', 'position', 'generally', 'remote', '.', 'We', 'may', 'consider', 'select', 'remote', 'candidates', 'located', 'within', 'Iowa', '.', 'Candidates', 'outside', 'Iowa', 'required', 'relocate', 'Iowa', 'Great', 'Lakes', 'region', '.']","Position Overview Our Senior IT Systems & Network Engineers hold wealth knowledge regarding complex LAN WAN network infrastructure . They able provide highest level network system maintenance support , expected leading-class knowledge hardware , software , networking , security . A Senior Systems & Network Engineer years experience working field , strong background customer service team leadership . Individuals must possess excellent technical troubleshooting skills , must also outstanding personal skills working closely customers imperative . Note : This position generally remote . We may consider select remote candidates located within Iowa . Candidates outside Iowa required relocate Iowa Great Lakes region ."
