Job Title,Company Name,Job Description
-1,-1,"Greensight is a small, dynamic company developing automated drone and robotics technologies to transform industries. We are growing our elite team of smart, hard working engineers who are combining their skills to lead one of the fastest growing industries in the world.
We are seeking a smart, highly-capable engineer to lead Machine Learning projects and participate in the development of software for our robots, image analytics and web portal. This person must be mentally flexible and have demonstrated the ability to pick up new skills quickly. Example tasks might include building a classifier to find cars or people in an imagery dataset, deploying Python/ML applications to cloud based Linux servers, or compiling an embedded application to run on a robotics platform.
Candidates must be comfortable working in a fast paced, small team startup environment.
Some of the qualifications and experience we are looking for in candidates include:"
-1,-1,"Cognitiv builds custom programmatic ad buying algorithms using the latest advances in Deep Learning. Our platform NeuralMind ™ enables us to offer custom algorithms to all our clients, advertisers to build custom algorithms for all of their brands and ROI-types, and agencies to offer more sophisticated targeting solutions to its programmatic clients. NeuralMind™ considers thousands of inputs at once – including context, time, user habits, weather, available inventory, and expected win price – all to optimize results from ad buying, audience building, and search advertising.
Overview
The Features team within the Research and Development group at Cognitiv is a highly visible team that plays a critical role in the success of our product and clients. Our team is responsible for designing and developing new features for use in Cognitiv’s deep learning models. This involves using standard software and feature engineering practices as well as implementing the latest and greatest in deep learning research. You will work side-by-side with machine learning research scientists, software engineers, and others so will get to flex many muscles."
-1,-1,"Smart Data Solutions, LLC is seeking a talented and creative machine learning specialist to help further automate our existing products as well as build new product categories. Projects would include building and testing statistical classification models, deep learning NLP models, and NER models. The Machine Learning Specialist is an IT Position focused on machine learning.
Duties and Responsibilities include, but are not limited to:
Machine Learning
1. Configure, maintain, troubleshoot, and improve machine models and associated workflows.
2. Develop and improve IT systems related to machine learning workflows.
OCR
4. Configure, test, and deploy accurate registration and recognition templates for new forms and workflows.
5. Troubleshoot existing registration and recognition problems."
-1,-1,"We are Mythical Games. A venture-backed next-generation game technology company at the intersection of video games and economics led by industry veterans. Our goal is to lead the industry with the launch of exceptional video game experiences that leverage distributed ledger technology, while also providing a platform of robust tools that will allow any other game developers to do the same.
ABOUT THE ROLE:
We are looking for a highly skilled Sr. Software Engineer with a proven track record performing statistical analysis, prediction, and recommendation on diverse and large-scale e-commerce datasets preferably. In this role, you will be responsible for delivering models in production that optimize marketplace interactions, generate insights, and detect anomalies among other things. While this role is production-focused, as one of the first members, you will be critical for the development of Data Science at Mythical Games."
-1,-1,"What We Offer:
At Blain’s Farm & Fleet we believe everyone deserves the opportunity to have a job they love, work in a great environment, grow their career, and enjoy a positive balance.

As a family-owned retailer we take pride in offering a competitive benefit package designed to support you and your life. It is one of the reasons we have been named a Forbes Best Employer for three consecutive years!
We provide development to help you grow your career
Employee discount
Internal recognition programs that support an engaged workplace
Profit Sharing
What Youâll Do:
What it Takes:"
-1,-1,"About the role:
Collaborates with stakeholders to design, develop, optimize, and productionize machine learning (ML) or ML-based solutions and systems that are used within a team to solve moderately complex problems. This role also leverages and improves ML infrastructure for model development, training, deployment needs and scaling ML systems.

About the Team:
The Risk Machine Learning team builds scalable state-of-the-art machine learning solutions to detect, infer and predict fraud and abuse for all of Uber’s lines of business. We focus on building models to protect riders, drivers, eaters, couriers, and merchants at every point in their lifecycle with an equal emphasis on giving our users an excellent experience. We accomplish these goals by researching new models, algorithms and features.

Technical Competency:
Maintains and applies thorough and up-to-date knowledge of ML and experimentation methods (e.g., A/B testing) to design, develop, optimize, and productionize ML or ML-based solutions and systems by developing and testing hypotheses, analyzing large quantities of data, prototyping and validating ideas and systems, and adapting and creating optimized algorithms, models, and other solutions. Serves as a domain resource inside and outside their own team to adopt Uber and industry standards to leverage and improve ML infrastructure for model development, training, deployment needs and scaling ML systems. Improves Uber technical standards and leads the adoption of Uber and industry standards and best practices within the team or project.


Writes high-quality code (i.e., reliable, readable, efficient, testable), provides quality code reviews, and creates comprehensive tests and quality documentation to solve complex problems that are not well-defined and span multiple areas or projects. This includes knowledge of data structures, algorithms, programming and associated programming languages and frameworks, and major phases/activities of the software research and development life cycle (e.g., requirements, design, build, experiment, test, debug, deploy, monitor). Monitors, reports, and ensures resolution of complex technical problems according to standards and best practices.


Partners with stakeholders to understand customer and/or business requirements. Translates requirements into effective design documents to address clearly defined business or technical problems. Provides expertise to make trade-off decisions between short-term results and long-term goals.


Creates and promotes efficiency and speed within the team by leveraging and improving existing solutions, developing extensible solutions, and reconciling gaps and redundancy within the team. Identifies opportunities and advocates for better performance and efficiency of the team's software and systems.


Manages and executes ambiguous technical projects and solutions with drive and appropriate sense of urgency to deliver technical and business impact within the team. Plans, organizes, and manages tasks, resources, and timelines within a team to accomplish work accurately and on time. Defines and diagnoses ambiguous problems and determines an appropriate solution, recommendation, or decision while logically evaluating alternatives and factors (e.g., resources, costs, tradeoffs). Anticipates roadblocks and develops strategies to mitigate risk.


Listens to and supports ideas/opinions of others from diverse backgrounds and experiences. Proactively builds and maintains collaborative and trusting relationships with multiple stakeholders within the team. Recognizes conflict or disputes among people and situations; mediates open communication of different points of view to resolve conflicts and meet shared goals. Provides constructive and actionable feedback to others to help improve the entire team.


Enhances the effective functioning of Uber by participating in and promoting activities and efforts that contribute to the engineering and/or people culture in the team such as mentoring junior engineers. Represents the team to the broader community through participation in internally- and/or externally-focused engagements (e.g., tech talks, open source, conferences, team building).


Bachelor’s degree or equivalent in Computer Science, Engineering, Mathematics or related field, WHICH INCLUDES 1-year total technical software engineering experience in one or more of the following areas:

Programming language (e.g. C, C++, Java, Python, or Go)
Training using data structures and algorithms
Machine learning (e.g., tree-based techniques, supervised learning)
Machine Learning Software such as Tensorflow/Pytorch, Caffe, Scikit-Learn, or Spark MLLib

Note the 1-year total of specialized software engineering experience may have been gained through education and full-time work experience, additional training, coursework, research, or similar (OR some combination of these). The year of specialized experience is not necessarily in addition to the years of Education & full-time work experience indicated.


Deep knowledge of machine learning algorithms
Experience designing scalable ML architecture
Experience with feature management


Exposure to or experience with Deep Learning
Experience with ML infrastructure and running models at scale in production
Strong programming skills (we mainly use Python, Java, Scala)
Ability to communicate complex black-box models to cross-functional stakeholders
Experience in stream processing - Spark, Flink etc.

At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world!
We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have a curiosity, passion and collaborative spirit, work with us, and let’s move the world forward, together!

Uber is proud to be an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.
If you have a disability or special need that requires accommodation, please let us know by completing this form."
-1,-1,"Sense’s mission is to reduce global carbon emissions by making homes smart and efficient. We make it easier for people to take care of their homes and to actively participate in a cleaner, more resilient future. We’re serious about having a real impact on climate change.
To accomplish this mission, we are building an AI and automation platform for home energy infrastructure. Come join the Data Science team and ship a great consumer product built on our unique machine learning technology. We have a wide range of interesting technical challenges that span rich time-series data analysis, supervised and unsupervised machine learning, embedded and the cloud, and a team of highly curious, collaborative data scientists and engineers who enjoy solving hard problems together.
If the idea of having a significant positive impact on the product sounds exciting to you, let's talk!"
-1,-1,"About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making."
-1,-1,"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners."
-1,-1,"At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 14,000+ branch offices where our more than 7 million clients live and work.

A typical branch office has one financial advisor who meets with clients face-to-face and one branch office administrator who enhances the team's ability to build deep relationships with clients. Headquarters associates in St. Louis and Tempe provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. Edward Jones currently has more branch offices than any other financial services firm, and we continue to grow to meet the needs of long-term individual investors.
At Edward Jones we are developing a next-generation data architecture to support our growing business. As part of the Data Management area, you will be challenged daily to test, deploy, and manage Machine Learning systems and tools to support Data Science use cases. In addition, you will help build ML Ops processes to support the development of ML pipelines and the production deployment of models. The processes you help design and deploy will use DevOps principles to enable rapid iteration. You will partner closely with stakeholders like Data Scientists, Data Engineers, Quality Assurance analysts and many others to produce high-quality ML products.

Salary: $105753 - $180067
Category: Headquarters"
-1,-1,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth.
The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Build industry-leading recommendation system, improving user experience, content ecosystem and platform security"
-1,-1,"About us
Certec Consulting, inc
recruiting firm
The following is a big plus:
-- fluency in Python and Machine Languages (PyTorch, TensorFlow, JAX)
-- experience with training and deploying models in multi-GPU environments
-- recognized open-source contributions
-- participation in competitive programming events (CTFs, IOI, IMO, Topcoder, Kaggle, etc.)
Skills"
