Company Name,Job Title,Job Location,Job Description
Absolute Robot Corporation,Robotics & Molding Engineer,North Carolina,"Absolute is looking for an entry-level technician who wants to grow with our
company, is career minded and loves to travel. You will begin working for
Absolute by participating in our thriving training program in Worcester,
Massachusetts.

This is a long-term growth opportunity that will expand your skillset and
challenge you for years to come. Absolute Robot and sister company Absolute
Haitian are industry leaders with an expanding customer base in the United
States.

 **You will begin your career at Absolute by**

  * Spending a couple of months learning to set up, install and service our robotic equipment, then broaden your knowledge base by working on injection molding equipment in our Worcester, MA headquarters.
  * Shadowing our field service techs on installation and service calls throughout the Northeast and possibly the rest of the US.

 **After training is completed, you will**

  * Begin installing and troubleshooting our equipment on your own, starting with robots and smaller machinery, then gradually adding our larger injection molding machinery.
  * After your training in Massachusetts has concluded you will relocate back to North Carolina and travel within the region and the rest of the US 100%.

  * There are opportunities to relocate to another region of the US.

 **Qualifications**

  * Associate's degree in mechanical engineering or related field
  * Ability to read and interpret electrical, mechanical and hydraulic drawings
  * Ability to use hand tools and various hydraulic, mechanical and electrical test equipment
  * Previous internship in engineering field is helpful
  * You MUST be able to travel up to 100%

 _ **YOU MUST BE ELIGIBLE TO WORK IN THE US WITHOUT SPONSORSHIP.**_

Job Type: Full-time

Pay: $58,000.00 - $60,000.00 per year

Benefits:

  * 401(k)
  * 401(k) matching
  * Dental insurance
  * Flexible spending account
  * Health insurance
  * Life insurance
  * Paid time off
  * Vision insurance

Schedule:

  * 8 hour shift
  * Monday to Friday

Education:

  * Associate (Preferred)

Experience:

  * Mechanical Engineering: 1 year (Preferred)

Willingness to travel:

  * 100% (Required)

Work Location: Multiple Locations

"
RIOS Intelligent Machines,Robotics Controls Development Engineer,"Menlo Park, CA","RIOS is a technology company helping global customers automate their
factories, warehouses, and supply chain operations by deploying a new class of
AI-powered and dexterous robots. RIOS robots handle hard-to-automate tasks,
typically requiring human-level dexterity, in unstructured environments. RIOS
is headquartered in Palo Alto, CA and has a pilot facility in San Carlos, CA.
More information is available at www.rios.ai

 **The Role**

RIOS is looking for an Robotics Controls Development Engineer that can own the
application logic and related robotics controls pipeline development for
various customer use cases. This typically will include leveraging existing
pipeline tools in different ways, along with a degree of custom development,
to meet customer KPI's.

 **As a Robotics Controls and Development Engineer you will:**

  * Work daily on multiple robot platforms with custom hardware and software stacks
  * Push hardware and technology limits to solve real-world problems.
  * Work with a multidisciplinary team to solve previously unsolvable robotics problems
  * Travel to customer sites to deploy robotic solutions.

 **Technical attributes of candidates may include:**

  * M.S./Ph.D. in Robotics, Computer Science, Electrical Engineering, or a related field (or equivalent industry experience)
  * Experience with Robot Operating System (ROS) Proficiency with robotics hardware and systems (e.g., electrical, mechanical, sensing)
  * Experience with C/C++, Python
  * Familiarity with aspects of robotic control including 3D perception, path planning, kinematics, etc.
  * Best practices in software development such as documentation, version control, testing and reproducibility
  * Experience with real-time operating system
  * Actively practice the Git-based CI/CD workflow

 **Perks**

  * Competitive salary package & Stock options for every employee
  * Healthcare + dental + vision insurance plans
  * 401(k) plan
  * Free lunch
  * Flexible time off & paid holidays
  * Social events + happy hours + team parties

Join us!

Job Type: Full-time

Benefits:

  * 401(k)
  * Dental insurance
  * Health insurance
  * Paid time off
  * Vision insurance

Schedule:

  * Monday to Friday

COVID-19 considerations:  
Yes, we have vaccination requirements.

Application Question(s):

  * Do you have experience with Robot Operating System (ROS) Proficiency with robotics hardware and systems (e.g., electrical, mechanical, sensing)?

Education:

  * Doctorate (Required)

Work Location: One location

"
Cambridge Consultants Inc,Senior Robotics Controls Engineer,"Boston, MA","Absolute is looking for an entry-level technician who wants to grow with our
company, is career minded and loves to travel. You will begin working for
Absolute by participating in our thriving training program in Worcester,
Massachusetts.

This is a long-term growth opportunity that will expand your skillset and
challenge you for years to come. Absolute Robot and sister company Absolute
Haitian are industry leaders with an expanding customer base in the United
States.

 **You will begin your career at Absolute by**

  * Spending a couple of months learning to set up, install and service our robotic equipment, then broaden your knowledge base by working on injection molding equipment in our Worcester, MA headquarters.
  * Shadowing our field service techs on installation and service calls throughout the Northeast and possibly the rest of the US.

 **After training is completed, you will**

  * Begin installing and troubleshooting our equipment on your own, starting with robots and smaller machinery, then gradually adding our larger injection molding machinery.
  * After your training in Massachusetts has concluded you will relocate back to North Carolina and travel within the region and the rest of the US 100%.

  * There are opportunities to relocate to another region of the US.

 **Qualifications**

  * Associate's degree in mechanical engineering or related field
  * Ability to read and interpret electrical, mechanical and hydraulic drawings
  * Ability to use hand tools and various hydraulic, mechanical and electrical test equipment
  * Previous internship in engineering field is helpful
  * You MUST be able to travel up to 100%

 _ **YOU MUST BE ELIGIBLE TO WORK IN THE US WITHOUT SPONSORSHIP.**_

Job Type: Full-time

Pay: $58,000.00 - $60,000.00 per year

Benefits:

  * 401(k)
  * 401(k) matching
  * Dental insurance
  * Flexible spending account
  * Health insurance
  * Life insurance
  * Paid time off
  * Vision insurance

Schedule:

  * 8 hour shift
  * Monday to Friday

Education:

  * Associate (Preferred)

Experience:

  * Mechanical Engineering: 1 year (Preferred)

Willingness to travel:

  * 100% (Required)

Work Location: Multiple Locations

"
Vandrax Technologies,Embedded Systems Engineer / Programmger - Mobile Robotics,Remote,"**Job Summary:**  
Programmer required for the system design of the Automated Guided Vehicle
(AGV) system for company. This position will require in-depth knowledge of AGV
systems and current technologies in the markerplace. The AGV programmer evelop
software and algorithms that improve how our industrial Automated Guided
Vehicles (AGVs) sense, understand and react. The AGV programmer will be
responsible for performing system design, testing and maintenance. Experience
with the design and implementation of manufacturing control software specific
to AGVs is a must.

C++ programming experience preferred, but Java is also acceptable. Must have
experience working with open source software as well as writing proprietary
software.

We develop a broad range of low level and embedded software powering motion
control, vision, robotics, computing and IOT. You can be involved in the
entire design process, such as discussing requirements with our customers,
writing specifications, conceptual and detailed designing, qualification and
finally releasing for production. We are looking for software engineers with a
strong affinity towards electronics, who are not afraid to open up a
schematics document to customize software for our integrated solutions. If
tuning your applications for different CPU/GPU/FPGA/Hybrid architectures,
multi core/multi CPU and other optimization techniques is what interests you,
join our team as an Embedded Software Engineer!

 **Essential Functions and Responsibilities:**

  * Program and update a system that will provide the required transport of materials by AGV for a given facility.
  * Lead design and programming meetings including other sub-consultants with technical system details for coordination.
  * Discover and correct fatal flaws in system design or revisions by others that may negatively impact system performance.
  * Perform various analyses to create and adjust system design, building spaces and operations.
  * Perform on-site or remote tele-inspections during system installation to adhere to specifications.
  * Creating reports to provide findings and recommendations.
  * Performs other related duties as assigned.
  * Design, develop and test of C++ computer applications
  * Work with real time operating systems (RTOS) and embedded platforms.
  * Strong background in embedded / network software development, and knowledge of Embedded Object-Oriented Development methodologies and approaches.
  * Designing and debugging experience with multi-threading application with embedded systems architecture.
  * Strong code development history using software to solve real-world problems.
  * Working knowledge of professional software engineering practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
  * Ability to write new mobile robot software features.
  * Ability to write software for real time hardware I/O control and feedback analysis
  * Knowledge of object-oriented design methodologies and design patterns
  * Experience programming serial, CAN and network communications (UDP and TCP)
  * Experience with issue tracking systems, specific experience with Jira is a plus
  * Experience with versions control systems, specific experience with Git/Sub version a plus
  * Experience with writing requirements, design documentation, and test cases
  * Working knowledge of electronic and electromechanical devices such as analog inputs and outputs, encoders, proximity sensors, etc.

 **Knowledge, Education, Skills, and Experience:**

  * Detailed knowledge of AGV systems from all large global manufacturers
  * Knowledge of each vendors components and features including vehicles, navigation systems, and capabilities.
  * Project management and communication skills to provide timely deliverables, develop and maintain client relations, monitor work scope and financials in contract and lead internal effort for assistance.
  * Equivalent combination of education, training, and experience that would provide the required knowledge and abilities.
  * Bachelors degree in architecture, engineering or related field and or having performed the required duties with an AGV manufacturer.

  * Requires a bachelor’s degree in Computer Science, Computer Engineering, automation technology, robotics or equivalent work experience.
  * 3-7 years programming experience writing application software using C++ for technical applications.
  * Experience with real-time operating systems (RTOS) and embedded platforms.
  * Ability to troubleshoot software issues in a comprehensive and creative manner.
  * Apply object-oriented design and development techniques, using C++ programming.
  * Assist with version control and release management.

 **What we offer:**

  * Transparent leadership team – business goals and objectives regularly communicated through monthly meetings
  * Opportunity for growth in a booming industry

  * Casual work environment
  * Company culture of continuous improvement
  * On-site or Remote work available

Job Types: Full-time, Part-time, Contract, Temporary

Pay: $52,675.00 - $129,951.00 per year

Schedule:

  * 8 hour shift
  * Monday to Friday
  * Weekend availability

Experience:

  * Embedded Software & Firmware Developers: 3 years (Preferred)
  * C++ or Java: 3 years (Preferred)

Work Location: Remote

"
Relative Dynamics Incorporated,Sr. Robotics Engineer,Remote,"**At Relative Dynamics we value knowledge as a process rather than knowledge
as an answer. Founded in 2011 our goal is to define the new space era by
continuously pushing the boundaries of engineering models services and
technology development. Visit us at www.relativedynamics.space.**

Relative Dynamics Inc. is looking for a **Senior** **Control System Hardware
Engineer** who will work on cutting edge Laser Communications R&D project in
Greenbelt, MD as part of our Advanced Development Group. As a Control System
Hardware Engineer, you are part of a cross-functional team developing optical
terminal hardware. The ideal candidate will have experience leading or
contributing to multiple product development efforts, projects, and
initiatives. This position is located in the Metro DC area.

 **What You'll Get to Do:**

  * Close collaboration with optical, mechanical, control and software engineers to define free-space optical communication system requirements and solutions.
  * Control system design and hardware testing for optical communication terminals driven by high performance while minimizing

size, weight, power, and cost.

 **What You'll Need:**

 **Required:**

  * Bachelor's degree or higher in electrical engineering, or relevant field and/or experience.
  * 5+ years’ experience working on robotic (or similar) control systems.
  * Control system design, simulation, and testing hardware expertise.
  * Excellent verbal and written communication skills.

 **Desired:**

  * Control system hardware design and testing using precision-positioning motors and piezo-electric transducers
  * Industrial control system product hardware development

 **What You Won't Do:**

  * Feel stuck as we offer great opportunities to advance and learn
  * Feel like a number as we're a close-knit bunch and always have each other’s backs

 **Who You Are:**

  * A self-starter who thrives in a fast-paced environment
  * A quick learner who is always ready to gain depth of knowledge
  * A reliable worker who knows the importance of showing up when it counts
  * Accept assignments with open cooperative positive and team-oriented attitudes
  * Able to plan and execute plans across teams
  * Effective communicator both written and verbal

 **What You'll Enjoy:**

  * Competitive wage and benefits package
  * Medical, dental, vision and life/disability insurance
  * Vacation and paid holidays
  * Tuition reimbursement
  * Great 401k with company match
  * Employee referral program
  * Community involvement investing and giving back to the community

 **Relative Dynamics conducts a comprehensive background check that includes
drug testing. We are an equal opportunity employer and value diversity at our
company. We do not discriminate on the basis of race, religion, national
origin, gender identity, sexual orientation, age, marital status, veteran
status or disability status.**

"
"Knightscope, Inc.",Senior Robotics Engineer,Remote,"Knightscope is seeking a senior-level robotics engineer to advance the
capability, efficiency, and robustness of our Autonomous Data Machines (ADMs).
You will help lead a team of engineers in the design, prototyping,
implementation, deployment, and maintenance of ADM platforms and software.
Your knowledge of and experience with robotics hardware, algorithms, software,
and sensors will have significant impact on the capability of our ADMs and the
service they provide to our clients. Knightscope is a fast-paced environment
populated with a highly diverse and passionate team. Your personal drive and
exceptional abilities will help bring Knightscope and its services to the next
level.

 **Responsibilities**

  * Design robot system architectures and algorithms that satisfy client requirements and constraints
  * Perform prototyping in real-world and simulation experiments to validate architecture / algorithm designs and technical approaches
  * Implement architectures, algorithms, and processes in production-level software
  * Support the deployment of software and hardware into new or existing ADMs in the fleet
  * Properly maintain and document all designs, software, and processes
  * Perform troubleshooting to rapidly characterize and address issues within the fleet
  * Lead a sub-team of robotics engineers in fulfilling the above duties, to include tasking, mentorship, and career development
  * Collaborate across the entire Knightscope team to maximize the capability, efficiency, and robustness of our client services.

 **Qualifications**

  * M.S. or higher in robotics related field (e.g. computer science, mechanical engineering, etc.)
  * 5+ years of experience in engineering autonomous robotic systems
  * Experience with robot localization algorithms (e.g. SLAM, AMCL, etc.)
  * Experience with robot navigation and autonomy algorithms (e.g. D*, FSMs, etc.)
  * Experience with Robot Operating System (ROS), including development of custom nodes
  * Programming experience in C++, python, and bash
  * Ability to develop software for embedded Linux systems
  * Working knowledge of software versioning, testing, maintenance, and documentation processes/tools
  * Strong written and verbal communication skills
  * Ability to collaborate with diverse and distributed technical teams
  * Ability to lead diverse and distributed technical teams

 **Nice to Have**

  * Experience with containerized deployment of software (e.g. Docker, Kubernetes, etc.)
  * Experience with 3D localization techniques (e.g. ICP, voxel grids, etc.)
  * Working knowledge of IPC messaging architectures (e.g. XML-RPC, RabbitMQ, etc.)
  * Experience with modifying/debugging operating system components, such as drivers,
  * Experience with LIDARs, cameras, IMUs, GPS, and other localization sensors
  * General knowledge of machine learning concepts and software tools
  * General knowledge of audio and video software pipelines
  * Experience with NVIDIA-based embedded processors (e.g. TX1/2, Xavier, etc.)

 **Location**

  * Remote / Work-From-Home, Washington D.C. area preferred

All qualified applicants will receive consideration for employment without
regard to race, color, religion, sex or national origin

Job Type: Full-time

Pay: $160,000.00 - $225,000.00 per year

Work Location: Remote

"
NVIDIA,"Senior Robotics Software Engineer, Motion Planning","Santa Clara, CA","Want to join a fun, creative company that is on the cutting edge of
outstanding technologies? NVIDIA is developing groundbreaking solutions in
some of the world’s most exciting technology areas including Virtual Reality,
Artificial Intelligence, Deep Learning, Robotics and Autonomous Vehicles. We
are looking for a Senior Robotics Software Engineer with focus on Motion
Planning to help us build the next generation of our robotics navigation
stack!

**What you will be doing:**

  * Take our navigation stack planning capabilities and features to the next levels 

  * Take ideas from inception to implementation to successful and scalable deployment on robots in real environments 

  * Help define and verify product requirements through detailed analysis, testing and benchmarking both in simulation and test fields 

  * Devise robust systems that works under various conditions (given perception sensor modalities, map availability, environmental conditions, etc) 

  * Thrive in an agile and dynamic environment and use your problem solving skills for building creative solutions in a compute constrained system 

  * Collaborate closely with engineers from other teams and backgrounds including perception and mapping as well as give technical mentorship to junior engineers 

**What we need to see:**

  * MSc/PhD in Robotics, CS, EE or similar fields or BS with equivalent industry experience 

  * 3+ years of proven experience in delivering production-level robotics software on safety critical systems 

  * Practical experience with developing motion planning and control approaches for robots or autonomous vehicles (such as graph search, trajectory optimization, probabilistic robotics, lattice or sampling-based approaches, planning under uncertainty, etc) 

  * Experience writing C++ in a production environment including unit testing, algorithm performance optimization, code review, etc. 

  * Familiarity with scripting languages such as Bash and Python 

**Ways to stand out from the crowd:**

  * Deep understanding of dynamics fundamentals and computational geometry 

  * Capable ability to understand probability, statistics, probabilistic modeling, and linear algebra 

  * Good understanding of learning techniques and data-driven approaches in robotics 

  * Proven experience building safety-critical software architectures 

  * Experience with GPU optimization and Knowledge of CUDA 

With highly competitive salaries and a comprehensive benefits package, NVIDIA
is widely considered to be one of the technology industry's most desirable
employers. We have some of the most forward-thinking and hardworking people in
the world working with us and our product lines are growing fast in some of
the hottest fields such as virtual reality, deep learning, artificial
intelligence, graphics virtualization, photo realistic rendering and more.
Come join us at NVIDIA!

NVIDIA is committed to fostering a diverse work environment and proud to be an
equal opportunity employer. As we highly value diversity in our current and
future employees, we do not discriminate (including in our hiring and
promotion practices) on the basis of race, religion, color, national origin,
gender, gender expression , sexual orientation, age, marital status, veteran
status, disability status or any other characteristic protected by law.

"
ViaBot Inc.,Robotics Software Engineer - Integration,"Sunnyvale, CA","**About Us**

Here at ViaBot, we're building a robot made to tackle real-world tasks. We're
a robotics startup based in the heart of Silicon Valley, with a forward-
thinking and exceptional team that's ever-growing. Our aim is to change the
way people see robots--not as gimmicks or as one-trick ponies, but as sensible
solutions to sizable problems. Enter RUNO: an autonomous mobile robot designed
to handle outdoor commercial tasks, such as sweeping and grass cutting. Learn
more about us at: https://www.viabot.com

 **Responsibilities**

ViaBot is looking for a passionate Robotics Software Engineer looking to get
involved with all aspects of the development of autonomous UGVs as a viable
commercial solution. Our ideal candidate is resourceful, hard-working, and not
afraid to get their hands dirty while developing, testing, and maintaining
these bots. They will be responsible for:

  * Hands-on development with our autonomous mobile robot, RUNO
  * Supporting the testing and deployment of our robots onto the field
  * Integration of different sensors and subsystems used on our robot platform RUNO
  * Managing system state both on the microcontroller and Linux levels
  * Exposing diagnostics for both ease of development and for fleet monitoring
  * Optimizing and reduce existing code for both performance and readability
  * Improvising and handling responsibilities outside of the job description

 **Initial tasks will include:**

  * Implementing unit tests on the microcontroller code level for pre-deployment
  * Implementing process tests to be executed remotely and safely
  * Incorporate various sensors with UART-based interfaces
  * Handle many control loops in a single loop-based architecture with limited threading
  * Manage all inter-device messaging over CAN bus
  * Writing health-monitoring nodes in rospy/roscpp to ensure system reliability and ease of debugging
  * Working with our web engineers to expose robot diagnostics and data to our internal web services for fleet management

 **Qualifications:**

  * M.S./B.S. in Computer Science, Robotics, Electrical Engineering, or a related field
  * Hands-on experience developing robotics, IoT, or computer vision systems
  * Fluency in ROS, C/C++, and software development
  * Experience designing and building software for professional settings
  * Having a vehicle is highly recommended (we do on-site robot maintenance!)
  * Must have work authorization in the United States
  * Not a remote position
  * Must provide proof of vaccination on first day

 **Compensation: $110,000 - $120,000 / yr, plus benefits and stock options**

Job Type: Full-time

Pay: $110,000.00 - $120,000.00 per year

Benefits:

  * Dental insurance
  * Health insurance
  * Paid time off
  * Vision insurance

Schedule:

  * Monday to Friday
  * On call

COVID-19 considerations:  
We require all employees to be fully vaccinated for COVID-19. Face masks and
hand sanitizer are readily available and used on site.

Ability to commute/relocate:

  * Sunnyvale, CA 94089: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

  * Are you able to start working by May 1st, 2022?
  * We are transparent about our compensation, and list it on our posting. Have you reviewed this?

Experience:

  * mobile robotics industry: 1 year (Required)
  * C/C++: 2 years (Preferred)
  * sensor integration: 1 year (Preferred)
  * professional software development: 1 year (Preferred)
  * ROS: 1 year (Required)

License/Certification:

  * Driver's License (Required)

Willingness to travel:

  * 25% (Preferred)

Work Location: One location

"
"Factory Automation Systems, Inc.",Sr. Robotics Engineer,"Atlanta, GA","Sr. Robotics Engineer

Factory Automation Systems is an industrial automation systems integrator that
was founded in 1992. Located in Atlanta, GA, the company provides turnkey
automation solutions to manufacturing companies across the U.S. Our core
expertise includes programmable controllers, information systems, robot
systems, variable speed drives and motion control. We deliver solutions to
customers from diverse industries – building products, automotive, metals,
food processing, chemicals, and more.

FAS specializes in machine tending, material handling and material removal
robotic applications. The company is a Robotics Industries Association (RIA)
certified robot integrator, and FAS is a certified integration partner for
KUKA, FANUC and ABB. Visit www.youtube.com/factoryautomation for videos of
recent robot projects.

We are currently seeking a Senior Robotics Engineer with experience in
manufacturing applications. You will be an integral team member that designs
and implements robot cells. Note: This is not a robot cell maintenance
position - we need a candidate that starts with requirements and a blank sheet
of paper and can design a solution. We are looking for a capable, creative and
self-motivated professional who wants a career in robotic systems integration.

Education: Masters or Bachelors degree in an engineering discipline with
significant work experience in Robotics Engineering. RIA Expert Certification
is a plus.

Description: The Senior Robotic Engineer position requires:

  * Robotic cell design, robot selection and end-of-arm tooling design

  * Robot set-up from system defaults

  * Set-up and use of tool data, frame data and external TCP

  * Use of vision on robot tools and fixed cameras, including understanding of vision tools and calibrations

  * Creation and debug of background tasks

Essential Job Functions:

  * Actively participate in project kick-off meetings. Obtain a clear understanding of the scope and schedule from the project manager, customer and project team.

  * Manage schedules to adhere to the development goals and timelines

  * Provide planning and status information to the project manager

  * Support installation and perform system start-up

Skills Required:

  * Excellent written, verbal, analytical and interpersonal communication

  * Detail oriented with excellent follow-up skills

  * Flexible and able to work with priority and schedule changes

Factory Automation Systems is an equal opportunity employer and a drug-free
workplace. The company offers competitive compensation based on skills and
experience. FAS has a comprehensive benefits package with medical and dental
insurance, life insurance, paid vacation, paid holidays and a 401(k) plan with
company matching. Travel is estimated at 15 – 25%.

www.factoryautomation.com

youtube.com/factoryautomation

Job Type: Full-time

Schedule:

  * 8 hour shift

Education:

  * Bachelor's (Preferred)

Work Location: One location

"
Champion Homes,Controls/Robotics Engineer,"Troy, MI","**Job Title:** **Controls/Robotics Engineer,** of Manufacturing Technology

 **FLSA Status:** Exempt

 **Reports to:** Vice President, of Manufacturing Technology

  
As a **Controls Engineer** , you will perform Controls Engineering and
validation of complex automation machinery through review, design, support,
communication and execution of control systems. Successfully manage multiple
application projects as a Controls Engineer with strong knowledge in robot
applications. Functional experience with PLC Programs, HMI's, Networking,
robotics, and networking. Ability to design and debug complex machinery
applications. Functional experience working with engineering design projects
and machine startup and test systems.

 **Essential Duties and Responsibilities**

  * Develop new machinery, and hardware used for the control and monitoring of automated manufacturing equipment. This includes but is not limited to PLCs, robots, safety, HMIs, SCADA, network, vision and motion control.
  * Support plant equipment startup and debug by working with third party system integrators.
  * Develop request for proposals to include control reliable secure architectures.
  * Communicate with suppliers and guide their controls engineering departments on detailed implementations.
  * Perform Factory and Site Acceptance testing to validate equipment controls systems functionality.
  * Perform onsite training for operational personnel.
  * Support multiple plants to resolve complex controls failures and drive to long term resolution with supplier.
  * Determine ways to take full advantage of new controls technologies to design world-class automation controls standards that minimize development time, commissioning time, and unplanned downtime.
  * Write and own the standards, specifications, and procedures that must be followed both internally and by external vendors designing manufacturing equipment for Champion.
  * Build out libraries of modular code and templates that will be used as the building blocks for Champion manufacturing equipment across the entire company.
  * Create tools to automate various steps in the development and deployment process such as scripts for auto-generating PLC code or HMI screens.
  * Design network topology that optimize the equipment for remote accessibility, diagnostics, backups, data collection, and cybersecurity.
  * Architect, write, and debug PLCs using Ladder Logic and/or Structured Text with an emphasis on generating code that is organized, structured, documented, maintainable and reusable.
  * Generate user HMI and SCADA screens that are user-friendly, intuitive and suitable for operating and troubleshooting equipment.
  * Specify (ANSI/RIA15.06/OSHA compliant) control reliable safety systems for safeguarding robots, gantries, conveyors, and other high volume manufacturing equipment.
  * Design the interfaces for interaction between the manufacturing equipment and supervisory level systems such as the factories Manufacturing Execution System (MES).
  * Validate these internally developed standards and tools on production-representative lab equipment and virtual simulations to ensure high quality and robust behavior.

 **Qualifications**

  * S. in Mechanical / Electrical Engineering, or equivalent
  * 4+ years of manufacturing or relevant experience (new line launches a plus)
  * Familiarity with common controls hardware components used in high volume manufacturing.
  * Hands-on experience integrating high volume manufacturing equipment.
  * In-depth knowledge of Safety standards (ANSI/RIA15.06, OSHA).
  * In-depth knowledge of Electrical Standards (NFPA79, National Electric Code, UL508A)
  * Experience developing electrical schematics using EPLAN, AutoCAD Electrical, or similar.
  * In depth knowledge of the configuration, performance, and limitations of industrial PLCs
  * Advanced proficiency programming industrial equipment using various IEC 61131-3 languages.
  * Experience developing company standards and resuable code for programming Allen Bradley PLCs.
  * Experience developing company standards and reusable templates for equipment HMIs using FactoryTalk View, Ignition, Studio 5000 Logix, HMI, and other AB products.
  * Experience programming industrial 6-axis robots such as Fanuc, Kawasaki, ABB, Kuka, etc. is preferred.
  * Experience designing topologies for and troubleshooting common fieldbus networks such as Ethernet/IP, EtherCAT, or Profinet.
  * Knowledge of communications between machine PLCs and database systems
  * Experience interfacing manufacturing equipment with Manufacturing Execution Systems (MES).
  * Ability to travel 50% of the time during critical launch phase.
  * Functional safety knowledge is a plus.

 **  
Physical Demands** The physical demands described here are representative of
those that must be met by an employee to successfully perform the essential
functions of this job. Reasonable accommodations may be made to enable
individuals with disabilities to perform the essential functions.

  
While performing the duties of this job, the employee is frequently required
to sit; use hands to finger, handle, or feel; reach with hands and arms and
talk or hear. The employee is occasionally required to stand, walk, traverse
stairs, stoop and bend. The employee must occasionally lift and/or move up to
25 pounds. Specific vision abilities required by this job include close
vision, distance vision, color vision, peripheral vision, depth perception and
ability to adjust focus.

 **  
Work Environment** The work environment characteristics described here are
representative of those an employee encounters while performing the essential
functions of this job. Reasonable accommodations may be made to enable
individuals with disabilities to perform the essential functions. The noise
level in the work environment is usually moderate.

 _  
Champion Home Builders is an Equal Opportunity Employer and all qualified
applicants will receive consideration for employment without regard to race,
color, religion, sex, sexual orientation, gender identity or national origin._

"
