,Job Title,Company Name,Job Description,Unnamed: 0
0,-1,-1,"Role: Staff Software Engineer - Machine Learning Infrastructure
Other comparable titles: ML Platform Architect, Lead Platform Engineer- ML
Locations: Coppell- TX, Waukesha, WI, Boston- MA
About Blue Yonder",
1,-1,-1,"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Grade: 14, 15, 16

Qualifications may warrant placement in a different job level.",
2,-1,-1,"Do you wake up every morning wanting to make a difference in the world? If you can manufacture something that will literally change and enhance the lives of people throughout the world does it motivate you? Here at Modus Advanced we make custom components that go into innovative products that are impacting everyone from our Navy Seals and Troops to patients needing life saving medical devices and treatments. Everyday, we remain passionate and committed because what we do matters!
Please watch the video below if you would like to learn more (you may need to paste the link into your browser):
https://share.vidyard.com/watch/it7DZuHLFEmyU1Y9gTptEP?
An ideal candidate for this position would have an Engineering background and is eager to make a significant contribution!",
3,-1,-1,"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.",
4,-1,-1,"Machine Learning Engineer for ML Ops
Providing a well-architected, highly performant, and intuitively configurable AI lifecycle management system is a core part of Lucd’s strategy. Enterprise AI stakeholders need robust capabilities for enforcing AI governance in accordance with their specific business needs; for example, defining policies for identifying biased datasets or AI models, and assessing “degree of fitness” of a model for production deployment. The primary responsibilities for this ML Engineer position will focus on developing machine learning operations (ML Ops) capabilities for the Lucd platform in support of the needs stated above.
This primarily includes the following responsibilities.
Contributing to the architecture and implementation of an extensible ML Ops framework enabling governance capabilities such as (but not limited to) data quality measurement, AI model experimentation, and AI production model monitoring, all facilitated in a customized and automated manner. The targeted AI production environments might include cloud-based API services or edge deployments (e.g., embedded or mobile devices).",
5,-1,-1,"Intro (Use Font Arial 12):
As a Machine Learning Engineer, you will be a part of the team responsible for making it easy to deploy, manage, and monitor machine learning models at scale in production. You will join a team that developes the infrastructure to facilitate model orchestration. Collaborate with both data scientists and platform engineers to create intuitive and resilient solutions. You will also be expected to follow the best practices of Agile software development, including high coding quality with testing coverage, and continuous integration and deployment of your solutions.
What You'll Be Doing:

Design and build scalable machine learning infrastructure for model management, continuous training and deployment, and serving predictions.
Support the operation services and set up monitoring, to keep our services at the highest level of service agreement.
Location and Travel Details:
Profile of Success:
About AIS:







EEO Statement:",
6,-1,-1,"The Data Engineer will work with apart of the Global Analytics Team within Global Professional Services. This role will work with a variety of Lexmark teams including Service Operations, Engineering, R&D, and IT. This role will work directly with Lexmark’s customers as needed to develop new capabilities for Lexmark’s IoT initiative. Dive into technical project work to help Predictive Service Management increase customer up time and reduce Lexmark costs. Leverage and create cutting-edge predictive models and supporting technologies to build better services and support for Lexmark print and IoT devices.
Responsibilities:
Work with cross-functional resources including IT, Hardware/Firmware/Software Development Engineering, and Service Operations teams within Lexmark",
7,-1,-1,"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR).",
8,-1,-1,"Machine Learning Architect
Roles and Responsibilities
Lead the end-to-end architecture and development of machine learning solutions.
Implement machine learning algorithms into services and pipelines to be consumed at large-scale.
Engineer large scale development systems using full-stack, distributed shallow and deep-learning technologies and big data technologies.
Architect and develop a highly scalable, distributed, multi-tenant set of microservices backend solutions.
Be a part of a highly productive and creative engineering team
What Are We Looking For in This Role?
Highly Preferred:",
9,-1,-1,"MORSE is an innovative, employee-owned, tech company located in Kendall Square in Cambridge, MA specializing in solving multi-disciplinary problems faced by the US National Security Ecosystem. Our specially selected team of engineers, software developers and scientists develop algorithms, software integrated prototypes and solutions for Artificial Intelligence, Machine Learning, Manned and Unmanned Aerial Vehicles, Mission Planning, and Situational Awareness.

MORSE is searching for innovative candidates with expertise in using state-of-the-art machine learning algorithms for aerospace applications. The candidate will be responsible for acquiring truth data, integrating algorithms, testing algorithms, combining algorithms, reviewing literature to stay on top of the latest-and-greatest methods, analyzing data from field tests, and developing advanced algorithms. MORSE's machine learning focuses both on computer vision-based problems (with deep learning solutions) and data analysis of sparse data sets. The candidate will work with MORSE's current team of engineers to transition algorithms to production, which may run on a server or on a real-time embedded system. The candidate must also be capable of clearly communicating concepts to engineers and stakeholders.",
10,-1,-1,"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",
11,-1,-1,"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",
12,-1,-1,"Position Description:
Duties are performed following generally stated objectives for the project or project phases, usually involving frequent conferences with higher level engineering or manufacturing managers. Under general supervision, plans, conducts, and supervises assignment normally involving several smaller projects, or one or more major projects. Estimates number of employees needed and schedules work to meet completion dates and technical specifications. Coordinates and directs other engineers, technicians, designers, drafters, and machine tool programmers assigned to projects; maintains liaison with other departments; reviews progress and evaluates results; makes changes in methods design or equipment when necessary. Generally operates with appreciable latitude for non-reviewed action or decision. Assignments are broad in nature, and require a high level of evaluation, analysis, originality, and ingenuity.",
13,-1,-1,"Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team.
Principal Responsibilities:",
14,-1,-1,"Riverside Research is seeking a Scientist or Engineer with a general background in machine learning and artificial intelligence and a focus on human-machine teaming and user interfaces, to join a dynamic, growth-focused Artificial Intelligence and Machine Learning Lab. The Lab performs research and development focused on providing solutions to the Defense and Intelligence Communities.
As a key member of our Open Innovation Center, the scientist or engineer will execute as well as assist in growing opportunities with government research organizations (e.g. DARPA, IARPA, service labs, etc.), perform on our corporate-wide Independent Research & Development (IR&D) efforts in artificial intelligence and machine learning, manage existing R&D contracts, and transition technology into our other business units.
The scientist or engineer will work with team members located in the Dayton OH, Washington DC, New York City, and Boston office locations while reporting to the Director of the Artificial Intelligence and Machine Learning Lab of the Open Innovation Center Business Unit.",
